,Block,Pout,COND,2Ncond,P,Pe,Pmost,RP ,Ndep,Ncon,Cdep,Blockbit,Branchbit,Maxbranchbit,Minbranchbit,Blockbranch,Rbit,NewRcond,trojan
1936,3.38,0.53769,178.6024,1.0,3.14e+17,2.08e+17,0.5018,0.00391,0.0,1.0,1.0,4.0,1.0,2.0,2.952894378729195,5.0,0.983328175,3.0,0.0
1937,1.15,1.0,59.9461,1.0,0.00195,0.00024,0.49344,0.00391,0.0,0.0,0.999451356,3.0,1.0,129.0,1.0,4.0,0.51157051,1.82414896,0.0
1938,1.08,0.1189,58.394,2086.0,0.00195,6.15e+17,0.98894,4.7e+17,0.0,1.0,0.999271945,27.0,1.0,3.0,1.0,2.0,1.0,0.845872687,0.0
1939,0.91,1.0,11.454,24.0,1.38e+17,5.72e+16,0.4996,0.00391,0.0,2.0,0.999703724,3.0,1.0,2.0,1.0,12.0,0.325796935,1.988925785,1.0
1940,2.08,1.0,-35.1628,1764.0,0.00195,3.81e+17,0.49797,0.00391,0.0,1.0,1.0,3.0,1.0,1.0,1.0,12.0,0.492067903,1.389431237,0.0
1941,1.74,0.26653,115.9856,1.0,2.61e+17,5.5e+17,0.49707,6.24e+16,0.0,131.0,1.0,131.0,1.0,4.0,1.0,2.0,1.0,2.552280397,0.0
1942,7.16,1.0,-44.4709,1.0,2.16e+17,5.41e+17,0.50104,2.45e+17,0.0,1.0,0.998772228,4.0,1.0,3.0,1.0,4.0,0.484248858,1.456501948,0.0
1943,6.45,1.0,155.9431,1.0,0.00195,6.62e+17,0.49615,1.66e+17,0.0,1.0,1.0,6.0,1.0,4.0,1.0,4.0,0.174615627,1.499035414,0.0
1944,6.52,0.99608,28.1225,1.0,0.00195,1.59e+17,0.49975,1.45e+17,0.0,2.0,0.998163131,5.0,1.0,4.0,1.0,4.0,0.280157069,3.0,0.0
1945,6.79,1.0,84.5977,1.0,0.00195,0.00024,0.5008,0.00391,0.0,0.0,0.999246624,2.0,1.0,4.0,1.0,3.0,0.998717787,1.992680925,0.0
1946,3.62,1.0,99.4913,1.0,0.00195,1.53e+17,0.50217,0.00391,0.0,2.0,0.99918177,1.0,1.0,1.0,1.0,1.0,0.02321007,0.630087386,0.0
1947,2.06,0.21975,86.1124,1.0,0.00195,5.65e+17,0.49707,1.42e+17,0.0,0.0,0.999365012,2.0,1.0,4.0,1.0,6.0,0.298734233,1.829492451,0.0
1948,8.22,1.0,-0.8127,1.0,5.22e+17,8.51e+16,0.49649,0.00391,0.0,0.0,0.999296667,4.0,1.0,2.0,1.0,4.0,0.304586063,3.0,0.0
1949,0.57,1.0,17.8879,13.0,6.7e+16,3.9e+17,0.95132,0.00391,0.0,1.0,0.999469629,3.0,2.0,2.0,1.0,3.0,0.362385459,2.064921515,0.0
1950,2.12,0.12217,30.2332,1.0,1.7e+17,6007100000000000.0,0.49599,4.08e+16,0.0,1.0,0.999364343,4.0,1.0,2.0,1.0,6.0,0.344380525,2.074017372,0.0
1951,2.01,0.51473,25.4012,2039.0,1.79e+17,3.25e+17,0.49981,5.16e+17,0.0,1.0,0.998695411,32.0,2.0,2.0,1.0,1.0,0.058495105,1.843743102,1.0
1952,3.12,0.3654,-5.0412,1.0,9.9e+16,2.02e+17,0.50423,0.00391,0.0,0.0,0.998561667,4.0,1.0,3.0,4.0,4.0,0.286641086,3.0,0.0
1953,1.21,1.0,43.5344,14.0,2.16e+17,3.83e+17,0.30273,3.72e+17,0.0,1.0,0.999767355,2.0,26.0,128.0,1.0,1.0,0.473424565,3.0,0.0
1954,8.36,1.0,-84.9981,10.0,4.56e+17,3.88e+17,0.49019,0.00391,0.0,1.0,0.999518087,2.0,2.0,2.0,1.0,6.0,0.234057513,3.0,0.0
1955,7.43,1.0,-12.1459,6.0,0.00195,0.00024,0.34294,1.31e+17,0.0,1.0,0.998989478,28.0,2.0,5.0,1.0,6.0,0.972622662,2.499349857,0.0
1956,6.19,1.0,127.3822,1.0,0.00195,3.79e+17,0.50032,0.00391,0.0,3.0,1.0,8.0,3.0,4.0,5.0,2.0,0.29636289,1.829637748,0.0
1957,1.62,1.0,-10.3256,1.0,0.00195,2.87e+17,0.49411,4.34e+17,0.0,2.0,0.999544087,5.0,1.0,2.0,1.0,2.0,0.501819722,2.012442426,0.0
1958,4.09,0.17148,42.779,1.0,4.29e+17,0.00024,0.48877,1.14e+17,0.0,1.0,1.0,6.0,1.0,4.0,1.0,7.0,0.180436214,1.29034461,0.0
1959,4.83,1.0,165.6875,1.0,0.00195,2.26e+17,0.50292,6.81e+17,0.0,0.0,0.999260183,2.0,2.0,2.0,1.0,12.0,0.506886028,3.0,0.0
1960,5.43,1.0,158.1106,1.0,0.00195,1.09e+17,0.48835,5.08e+17,0.0,1.0,0.999760492,5.0,2.0,3.0,1.0,5.0,0.149008513,3.0,0.0
1961,3.34,1.0,117.1162,1.0,0.00195,2.9e+17,0.50037,1.66e+17,0.0,1.0,1.0,2.0,2.0,3.0,2.952894378729195,7.0,0.483564667,3.0,0.0
1962,1.28,1.0,74.0314,1.0,0.00195,0.00024,0.50289,0.00391,0.0,1.0,0.999459655,4.0,1.0,1.0,84.0,13.0,0.508865582,1.418836622,0.0
1963,1.93,1.0,-53.6906,1.0,0.00195,0.00024,0.93053,0.00391,0.0,2.0,0.998172356,134.0,1.0,3.0,6.0,4.0,0.252195173,1.230533791,1.0
1964,4.53,0.99902,84.3956,161.0,0.00195,5.84e+17,0.49095,4.79e+17,0.0,1.0,0.999847452,4.0,1.0,127.0,22.0,7.0,0.138521874,1.236908405,0.0
1965,6.38,0.3229,120.869,1.0,0.00195,0.00024,0.95858,2.66e+17,0.0,2.0,1.0,6.0,2.0,4.0,6.0,3.0,0.06520715,1.3855287,0.0
1966,3.14,0.5506,72.9633,138.0,1.73e+17,2.21e+17,0.49617,0.00391,0.0,2.0,0.998794377,3.0,1.0,3.0,1.0,6.0,0.139239526,2.051816263,0.0
1967,1.8,1.0,28.9466,2.0,0.00195,6.86e+17,0.49238,0.00391,0.0,2.0,1.0,3.0,1.0,129.0,1.0,4.0,0.489961601,2.07166657,1.0
1968,3.5,1.0,37.0495,1.0,0.00195,0.00024,0.49443,2.61e+17,0.0,0.0,1.0,4.0,1.0,3.0,2.0,2.0,0.144210725,1.283704738,0.0
1969,1.87,1.0,62.8305,17.0,0.00195,1.39e+17,0.49357,0.00391,0.0,1.0,1.0,131.0,1.0,4.0,1.0,1.0,0.50692391,2.053703219,0.0
1970,0.61,1.0,69.9311,8.0,0.00195,1.41e+17,0.92913,8.58e+16,0.0,1.0,0.99976203,4.0,1.0,5.0,6.0,2.0,0.019037341,1.144611383,0.0
1971,7.07,1.0,159.5489,1.0,14612900000000.0,6.17e+17,0.29865,3.58e+17,0.0,1.0,0.999498177,4.0,1.0,5.0,1.0,2.0,0.279582722,0.65866967,0.0
1972,9.08,0.30086,65.8181,12.0,8.77e+16,4.37e+17,0.49804,1.68e+17,0.0,0.0,1.0,5.0,1.0,2.0,2.0,12.0,0.075890363,1.291753753,0.0
1973,2.73,0.31055,15.0866,1.0,0.00195,6.29e+17,0.93648,1.55e+17,0.0,1.0,0.999979033,5.0,1.0,4.0,1.0,7.0,0.064508296,0.607529672,0.0
1974,5.07,1.0,-42.095,1.0,0.00195,5.24e+17,0.48571,6.65e+17,0.0,0.0,0.998808905,3.0,1.0,3.0,1.0,12.0,0.509914513,2.051097982,0.0
1975,4.34,1.0,75.9399,1.0,0.00195,5.15e+17,0.49358,0.00391,0.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,0.972782186,1.18457768,0.0
1976,3.05,1.0,122.2876,1.0,5.57e+16,6.49e+17,0.49389,0.00391,0.0,2.0,0.998760414,4.0,4.0,3.0,28.0,2.0,0.491520864,1.267082751,0.0
1977,3.493884117951371,1.0,-35.0578,9.0,0.00195,4.99e+17,0.49336,0.00391,0.0,2.0,0.998687735,3.0,1.0,126.0,1.0,2.0,0.337536946,2.084908891,0.0
1978,2.99,1.0,17.2697,1.0,5.6e+17,6.53e+17,0.49789,3.6e+17,0.0,1.0,0.998961222,131.0,1.0,1.0,1.0,8.0,0.295484425,1.27928953,0.0
1979,3.25,0.52243,115.0062,3.0,2.13e+17,2.97e+17,0.49011,0.00391,0.0,1.0,1.0,3.0,4.0,3.0,1.0,4.0,0.135522847,0.511081947,0.0
1980,7.07,1.0,43.4602,15.0,4.95e+17,6.2e+17,0.50226,0.00391,0.0,3.0,1.0,6.0,2.0,129.0,1.0,4.0,0.494702845,1.985632823,0.0
1981,3.73,1.0,64.8337,1.0,2.93e+17,1.02e+18,0.50831,0.00391,0.0,2.0,1.0,5.0,2.0,4.0,1.0,4.0,0.082671738,1.54193583,0.0
1982,0.83,1.0,8.517,1.0,3.08e+17,4.02e+17,0.50153,3.18e+17,0.0,1.0,1.0,132.0,2.0,1.0,4.0,4.0,0.513814221,2.658766697,0.0
1983,7.27,1.0,122.5082,1.0,0.00195,7.06e+17,0.48807,0.00391,0.0,1.0,0.997699918,121.0,3.0,44.0,1.0,3.0,5.83e-05,3.0,0.0
1984,1.74,1.0,123.1369,8.0,4.39e+17,3.49e+17,0.49054,1.28e+17,0.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,0.727359949,0.0
1985,8.33,0.99992,8.3227,1.0,0.00195,0.00024,0.49614,1.08e+17,0.0,2.0,0.998463767,2.0,1.0,1.0,1.0,2.0,0.002453,1.272511792,0.0
1986,0.82,1.0,83.6104,1.0,7.08e+17,7.39e+17,0.4916,0.00391,0.0,0.0,0.99770515,3.0,8.0,122.0,2.0,1.0,0.511190187,1.275476064,0.0
1987,5.26,1.0,-39.9328,1.0,4.55e+17,4.11e+17,0.49073,1.64e+16,0.0,3.0,0.998055492,4.0,32.0,4.0,1.0,8.0,0.193483212,0.480667602,0.0
1988,5.79,1.0,69.2867,1.0,0.00195,5.26e+17,0.5004,0.00391,0.0,0.0,0.999180535,5.0,2.0,3.0,1.0,1.0,0.067195554,3.0,0.0
1989,2.01,0.18996,76.9156,1.0,9.48e+16,2.09e+17,0.49021,1.7e+17,0.0,0.0,0.996912926,2.0,1.0,3.0,6.0,6.0,0.298129932,1.386978118,0.0
1990,7.9,0.29803,145.524,14.0,0.00195,3.96e+17,0.49334,0.00391,0.0,2.0,1.0,3.0,1.0,1.0,1.0,11.0,0.119898375,3.0,0.0
1991,3.493884117951371,1.0,68.2084,1.0,5.6e+17,1.61e+17,0.50509,0.00391,0.0,0.0,0.998077174,4.0,1.0,126.0,1.0,3.0,0.985907507,1.429686809,1.0
1992,2.69,1.0,104.0923,7.0,1.12e+17,4.89e+17,0.49083,4.39e+17,0.0,122.0,1.0,4.0,1.0,2.0,1.0,2.0,0.512142885,0.529555871,0.0
1993,6.56,0.2974,-65.2698,1.0,0.00195,6.22e+17,0.49368,0.00391,0.0,1.0,0.999471128,4.0,1.0,1.0,4.0,4.0,0.500463508,1.784856227,0.0
1994,4.67,1.0,-7.0592,21.0,4.88e+17,0.00024,0.49425,2.21e+17,0.0,0.0,1.0,130.0,2.0,1.0,1.0,7.0,0.093314234,0.813175119,0.0
1995,7.65,1.0,65.7044,1.0,0.00195,5.24e+17,0.50331,0.00391,0.0,1.0,0.997493592,27.0,1.0,4.0,1.0,3.0,0.324026334,2.065383652,0.0
1996,0.68,1.0,99.7802,1.0,0.00195,9.77e+16,0.49671,6.88e+17,0.0,2.0,0.999088767,5.0,2.0,5.0,1.0,2.0,0.173887599,1.404174689,0.0
1997,1.65,1.0,25.7524,29.0,7.55e+16,4.45e+17,0.49264,4.08e+17,0.0,2.0,0.996906676,5.0,1.0,4.0,1.0,1.0,0.504981967,2.60702918,0.0
1998,5.61,1.0,99.9807,1.0,0.00195,0.00024,0.49165,2.06e+17,0.0,1.0,0.999039973,130.0,2.0,3.0,1.0,6.0,0.254765199,2.004510289,0.0
1999,1.64,1.0,38.945,1.0,0.00195,4.81e+17,0.87837,5.57e+17,0.0,4.0,0.998208108,123.0,2.0,5.0,1.0,4.0,0.00531021,1.86019048,0.0
2000,6.02,1.0,48.6919,6.0,5.76e+17,4.11e+17,0.49255,2.99e+17,0.0,1.0,1.0,6.0,2.0,2.0,1.0,4.0,0.071324466,2.101934405,0.0
2001,3.27,1.0,14.6064,1.0,1.29e+17,5.72e+17,0.48995,0.00391,0.0,1.0,0.998891448,5.0,1.0,129.0,3.0,1.0,0.13565577,2.037294612,0.0
2002,7.59,1.0,-5.8602,1.0,8.24e+16,5.84e+17,0.36976,5.39e+17,0.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,0.270786195,1.268673355,0.0
2003,4.18,0.53558,-17.7919,1.0,0.00195,7.45e+17,0.49855,0.00391,0.0,2.0,0.999821348,7.0,1.0,3.0,1.0,2.0,0.324191526,2.032711699,1.0
2004,5.4,0.99982,103.5398,1.0,0.00195,7.22e+17,0.48933,5.49e+17,0.0,2.0,1.0,7.0,2.0,4.0,2.0,5.0,0.49224049,1.906328769,0.0
2005,3.02,0.2184,-0.1372,2.0,1.25e+17,3.99e+17,0.4948,5.08e+17,0.0,3.0,1.0,5.0,1.0,129.0,2.952894378729195,1.0,0.997491399,1.830154902,0.0
2006,1.89,1.0,35.8699,1.0,0.00195,3.75e+17,0.49656,3.13e+17,0.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,1.532137442,0.0
2007,2.03,1.0,64.911,7.0,3.7e+17,5.43e+17,0.49102,5.28e+17,0.0,2.0,0.998092571,6.0,2.0,2.0,1.0,1.0,0.168459475,1.86772258,0.0
2008,0.49,1.0,-0.4282,15.0,2.11e+17,1.43e+17,0.48423,0.00391,0.0,2.0,1.0,5.0,1.0,3.0,1.0,4.0,0.347853227,3.0,1.0
2009,2.7,1.0,-28.0998,1.0,0.00195,9166910000000000.0,0.49718,2.4e+17,0.0,2.0,1.0,7.0,3.0,129.0,1.0,7.0,0.528366903,3.0,0.0
2010,4.9,1.0,36.8169,18.0,0.00195,1.77e+17,0.94677,4.88e+17,0.0,2.0,0.998710337,5.0,2.0,5.0,32.0,4.0,1.0,1.89443465,0.0
2011,1.73,1.0,46.8699,1.0,0.00195,0.00024,0.49321,3.65e+17,0.0,126.0,1.0,27.0,2.0,1.0,1.0,4.0,0.076338911,1.188156054,0.0
2012,0.84,1.0,33.048,16.0,2.28e+17,3.96e+17,0.49631,2.78e+17,0.0,2.0,0.999533879,3.0,1.0,14.0,4.0,4.0,0.112584739,1.370543826,0.0
2013,1.57,1.0,-3.2834,1.0,0.00195,9.97e+16,0.49038,1.48e+16,0.0,1.0,0.999332856,4.0,1.0,3.0,1.0,13.0,0.32040688,1.488413045,0.0
2014,0.47,1.0,-38.2529,1.0,5.62e+17,8.11e+17,0.49447,2.74e+17,0.0,0.0,0.99853333,5.0,1.0,2.0,1.0,12.0,0.503302183,0.289985955,0.0
2015,5.53,1.0,158.2157,1.0,3.88e+17,6.66e+17,0.49158,6.01e+17,0.0,3.0,1.0,4.0,4.0,3.0,4.0,2.0,0.17757283,1.485561174,0.0
2016,0.62,0.99987,6.7801,4.0,0.00195,3.13e+17,0.49858,1.31e+17,0.0,1.0,0.998714704,2.0,3.0,125.0,1.0,2.0,0.482008184,1.308840353,0.0
2017,3.51,1.0,21281.0,2.0,0.00195,5.67e+17,0.50274,0.00391,0.0,2.0,1.0,3.0,1.0,2.0,1.0,6.0,0.386425357,3.0,1.0
2018,8.35,1.0,19.1294,27.0,1.25e+17,7.67e+17,0.49802,8.04e+16,0.0,1.0,1.0,5.0,1.0,3.0,4.0,4.0,0.132282949,2.018492772,0.0
2019,2.05,0.60146,-51.631,1783.0,6.58e+17,4.78e+17,0.5003,2.58e+17,0.0,0.0,0.998700578,7.0,1.0,2.0,1.0,4.0,0.325447747,2.067423204,0.0
2020,2.67,1.0,59.213,9.0,0.00195,8.09e+17,0.49719,5.68e+17,0.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,0.502573225,2.074164687,0.0
2021,5.25,0.54243,108.8376,1.0,2.95e+17,4.45e+17,0.49469,0.00391,0.0,3.0,1.0,5.0,2.0,5.0,1.0,2.0,0.489465976,2.022796715,0.0
2022,0.92,1.0,72.5389,8.0,0.00195,4.19e+17,0.50318,3112320000000000.0,0.0,1.0,0.999698863,7.0,2.0,4.0,1.0,9.0,5.83e-05,1.34943581,0.0
2023,1.86,1.0,19.0335,1.0,5.49e+16,0.00024,0.49549,0.00391,0.0,1.0,0.999180962,2.0,1.0,3.0,1.0,4.0,0.23115076,2.095555717,0.0
2024,3.05,0.17941,106.7916,1.0,8.2e+16,9.03e+17,0.49401,3.15e+16,0.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,0.492004384,2.05365178,0.0
2025,1.93,0.54585,65.1886,5.0,0.00195,2.89e+17,0.49358,2.61e+17,0.0,1.0,0.998317633,134.0,1.0,29.0,2.952894378729195,2.0,0.30124384,1.267205567,0.0
2026,0.35,1.0,83.2457,2.0,0.00195,4.17e+17,0.49618,0.00391,0.0,0.0,0.99916141,35.0,1.0,2.0,1.0,3.0,0.509265919,1.000846964,0.0
2027,1.76,0.52086,-5.9742,1.0,0.00195,6.83e+17,0.50576,5.69e+17,0.0,1.0,0.998381765,4.0,1.0,5.0,1.0,6.0,0.354657208,2.130398731,0.0
2028,0.69,1.0,122.8721,1.0,0.00195,6.17e+17,0.96863,2.8e+17,0.0,3.0,0.998674536,4.0,1.0,3.0,1.0,4.0,0.980959963,3.0,0.0
2029,7.11,1.0,-14.632,1.0,0.00195,4.51e+17,0.50084,2.56e+16,0.0,2.0,0.999880154,6.0,1.0,4.0,2.0,4.0,0.495130171,2.964138936,0.0
2030,2.41,1.0,-13.7011,1.0,0.00195,0.00024,0.50069,4.32e+17,0.0,2.0,0.999980968,4.0,1.0,3.0,1.0,4.0,0.498122668,1.895835949,0.0
2031,4.57,0.99217,31.8201,1.0,1.3e+16,4.17e+17,0.49849,0.00391,0.0,0.0,0.999067976,127.0,1.0,2.0,1.0,2.0,0.484513336,0.774649937,0.0
2032,1.82,1.0,135.577,1.0,3.7e+17,5.16e+17,0.50043,0.00391,0.0,0.0,0.999439246,1.0,1.0,3.0,1.0,5.0,0.009698292,2.054291325,0.0
2033,3.57,1.0,116.059,1.0,1.8e+17,5.52e+17,0.49687,2.41e+17,0.0,2.0,0.996885528,4.0,1.0,3.0,3.0,2.0,0.117069549,3.0,0.0
2034,3.95,0.30664,172.4797,1.0,1.8e+17,5.85e+17,0.49429,0.00391,0.0,132.0,1.0,7.0,2.0,2.0,1.0,4.0,0.956346836,1.611323107,0.0
2035,6.15,1.0,2.2615,1.0,5.05e+17,5.18e+17,0.49096,1.07e+17,0.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,0.520063098,2.059624248,0.0
2036,0.44,1.0,44.2266,16.0,0.00195,4.04e+17,0.50162,3.94e+17,0.0,2.0,0.997668769,2.0,1.0,3.0,1.0,4.0,0.156561268,1.834535056,0.0
2037,1.73,1.0,65.6549,15.0,1.68e+17,8.38e+16,0.49693,1.69e+17,0.0,128.0,0.998820298,131.0,1.0,2.0,1.0,6.0,0.127745983,0.697977276,0.0
2038,5.51,1.0,-56.5097,1.0,0.00195,4.22e+17,0.49379,1.9e+17,0.0,3.0,0.654142262,1.0,1.0,3.0,2.952894378729195,4.0,1.0,0.632899499,1.0
2039,2.16,1.0,42.022,9.0,1.28e+16,8e+16,0.49888,1.14e+17,0.0,118.0,0.998778968,2.0,1.0,3.0,2.0,1.0,0.496155028,0.824143893,0.0
2040,3.72,1.0,142.0242,1.0,5.49e+17,7e+17,0.48788,6.43e+16,0.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,0.48566959,0.825702107,0.0
2041,2.02,1.0,108.9275,3.0,0.00195,4.84e+17,0.497,0.00391,0.0,2.0,0.997992835,4.0,4.0,4.0,1.0,3.0,0.115592605,0.982272205,0.0
2042,3.23,1.0,77.9112,1.0,1.11e+17,1.46e+17,0.2519,4.05e+16,0.0,1.0,0.999671542,30.0,2.0,3.0,5.0,4.0,5.83e-05,0.776281426,0.0
2043,6.19,1.0,-30.1152,1.0,0.00195,4.1e+17,0.49149,0.00391,0.0,2.0,0.99861155,6.0,1.0,5.0,1.0,4.0,0.508095131,1.329647554,1.0
2044,8.65,1.0,22.2275,1.0,0.00195,0.00024,0.50246,1.57e+17,0.0,3.0,1.0,27.0,1.0,4.0,1.0,4.0,0.505569661,1.442736427,0.0
2045,4.98,1.0,79.248,1.0,6.47e+17,6.25e+17,0.49803,1.23e+17,0.0,1.0,1.0,2.0,1.0,2.0,1.0,14.0,0.96819887,3.0,1.0
2046,1.95,0.99918,-49.5885,1.0,1.26e+17,1.94e+17,0.49994,2.44e+17,0.0,1.0,1.0,7.0,1.0,2.0,1.0,4.0,0.489198035,1.383596865,0.0
2047,0.95,1.0,43.5852,5.0,0.00195,5.28e+17,0.48859,5.54e+16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.307392527,3.0,0.0
2048,1.13,0.9987,11.3782,6.0,0.00195,8.69e+16,0.50264,0.00391,0.0,1.0,0.997744948,123.0,1.0,1.0,1.0,2.0,1.0,0.712857724,1.0
2049,3.84,1.0,21.4033,1.0,6.78e+17,5.97e+17,0.49053,1.88e+17,0.0,1.0,0.999194027,2.0,1.0,3.0,1.0,4.0,0.112329357,2.999927323,1.0
2050,6.92,0.55977,28.6388,1.0,3.24e+16,7.8e+17,0.49537,0.00391,0.0,1.0,0.996988496,5.0,3.0,2.0,1.0,4.0,0.094447273,0.76450794,0.0
2051,7.81,1.0,-29.5375,1.0,0.00195,4.74e+17,0.42712,3.88e+17,0.0,2.0,0.998928415,1.0,1.0,4.0,1.0,3.0,0.048567035,3.0,0.0
2052,0.45,1.0,100.3236,1.0,0.00195,5.01e+17,0.96042,6.56e+16,0.0,0.0,1.0,2.0,1.0,129.0,1.0,4.0,0.963063444,1.905055711,0.0
2053,2.02,1.0,28.5606,1.0,3.02e+17,0.00024,0.49247,0.00391,0.0,1.0,0.998230402,1.0,1.0,2.0,1.0,4.0,0.487714818,3.0,0.0
2054,0.42,1.0,68.2851,1.0,2.74e+17,2.14e+17,0.49248,1.26e+16,0.0,0.0,0.999622996,2.0,1.0,3.0,1.0,2.0,0.533983214,1.32487312,0.0
2055,2.56,1.0,86.7505,1.0,1.77e+17,2.03e+17,0.49585,0.00391,0.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,0.959845416,3.0,0.0
2056,3.8,0.31174,21.053,1.0,3.89e+16,0.00024,0.49745,0.00391,0.0,2.0,0.996618149,2.0,1.0,4.0,1.0,4.0,0.290734612,2.048782729,0.0
2057,5.09,1.0,57.2346,1.0,0.00195,0.00024,0.50155,0.00391,0.0,2.0,0.998549299,2.0,1.0,1.0,1.0,4.0,1.0,2.035851991,0.0
2058,1.82,0.241,100.328,1.0,2.04e+17,9.33e+17,0.49175,5.8e+17,0.0,1.0,0.999082426,7.0,129.0,5.0,5.0,4.0,0.081091596,1.470559417,0.0
2059,3.38,0.15438,62.2882,3.0,2.18e+17,2.61e+17,0.4997,0.00391,0.0,1.0,0.997561468,3.0,1.0,3.0,1.0,4.0,1.0,2.042037099,0.0
2060,3.21,1.0,50.8348,1.0,0.00195,1.3e+17,0.49443,1.93e+17,0.0,2.0,0.997731809,4.0,1.0,3.0,1.0,6.0,0.504807794,1.753495286,0.0
2061,7.0,1.0,44.4184,1.0,6.32e+16,7.96e+17,0.49296,4.24e+17,0.0,0.0,1.0,1.0,1.0,3.0,1.0,3.8150470219435735,0.147955278,1.408780194,0.0
2062,3.35,1.0,41.3422,1.0,2.76e+17,0.00024,0.49495,0.00391,0.0,2.0,0.999341038,28.0,1.0,1.0,1.0,2.0,0.104330077,3.0,0.0
2063,5.89,1.0,35.0337,8.0,0.00195,0.00024,0.49699,0.00391,0.0,1.0,0.999490062,24.0,3.0,1.0,1.0,3.0,0.503980203,2.38402287,0.0
2064,3.61,1.0,106.0067,11.0,1.36e+17,3.04e+17,0.50226,6.74e+16,0.0,2.0,0.999358461,7.0,1.0,1.0,4.0,2.0,0.495354878,3.0,0.0
2065,3.493884117951371,1.0,140.888,1.0,4.59e+17,1.95e+17,0.50047,0.00391,0.0,2.0,0.99945943,2.0,2.0,1.0,1.0,2.0,0.987538062,0.836051181,0.0
2066,0.63,0.99832,55.7928,1.0,0.00195,3.15e+16,0.49466,3.13e+17,0.0,2.0,0.998377798,4.0,1.0,2.0,1.0,3.0,0.921877334,1.601351104,0.0
2067,5.35,0.29672,171.5357,1.0,0.00195,4.06e+17,0.49355,0.00391,0.0,0.0,0.99922013,4.0,1.0,3.0,1.0,6.0,0.305471728,1.743651172,0.0
2068,2.03,1.0,20.3763,1.0,0.00195,5.19e+17,0.48538,5.2e+17,0.0,1.0,0.999213999,2.0,2.0,4.0,6.0,4.0,0.98683637,1.172540185,0.0
2069,1.83,0.53665,78.9996,8.0,0.00195,1.3e+17,0.49357,4.45e+17,0.0,2.0,0.999334247,4.0,1.0,1.0,1.0,4.0,0.107415733,2.062908199,0.0
2070,3.27,1.0,14.4431,1.0,0.00195,5.22e+17,0.49849,8632270000000000.0,0.0,2.0,0.997398284,3.0,1.0,5.0,38.0,1.0,0.043898251,2.053830141,0.0
2071,0.77,1.0,183.6095,1.0,5.5e+17,3.91e+17,0.49535,3.53e+17,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.497344158,1.813745924,0.0
2072,6.64,0.52347,37.9267,1.0,5.84e+16,1.38e+17,0.49975,1.84e+17,0.0,2.0,1.0,5.0,1.0,1.0,4.0,1.0,0.513961102,1.437169449,0.0
2073,5.34,1.0,105.5119,12.0,0.00195,4.15e+17,0.49184,3.74e+16,0.0,1.0,0.999114369,2.0,3.0,2.0,4.0,4.0,0.500277979,3.0,0.0
2074,1.89,1.0,92.3451,4.0,0.00195,2.93e+17,0.49609,4.89e+16,0.0,1.0,0.999758203,1.0,1.0,2.0,2.0,6.0,0.149691887,0.422255899,0.0
2075,8.25,1.0,171.1323,1.0,0.00195,5.69e+17,0.48931,7.27e+17,0.0,0.0,0.99916389,1.0,1.0,1.0,1.0,2.0,0.516127489,1.400776007,0.0
2076,1.89,1.0,107.0197,3.0,0.00195,6.82e+16,0.49001,2.07e+17,0.0,1.0,0.999949025,1.0,1.0,4.0,1.0,1.0,0.991289895,2.952322518,0.0
2077,1.87,1.0,103.8917,1.0,2.65e+17,1.11e+17,0.9103,7.45e+16,0.0,1.0,0.998931719,5.0,1.0,47.0,1.0,4.0,0.511814544,0.395115461,0.0
2078,5.34,0.32333,29.8568,2.0,9.35e+16,5.32e+17,0.49675,7.52e+17,0.0,1.0,1.0,4.0,2.0,3.0,1.0,4.0,0.332274915,0.929536852,0.0
2079,6.62,1.0,12.3922,19.0,1.58e+17,4.36e+17,0.49827,2.95e+17,0.0,2.0,0.998153479,5.0,1.0,5.0,1.0,3.0,0.495577628,3.0,0.0
2080,8.65,1.0,1.905,2.0,2.56e+17,1.16e+17,0.49751,0.00391,0.0,0.0,1.0,3.0,1.0,38.0,1.0,4.0,0.032355392,1.982703114,0.0
2081,4.4,1.0,124.0619,4.0,0.00195,8.04e+17,0.49814,9732040000000000.0,0.0,4.0,0.999758342,5.0,1.0,2.0,1.0,1.0,0.10257349,3.0,0.0
2082,2.1,0.34242,-36.5108,18.0,0.00195,2.51e+17,0.50028,0.00391,0.0,1.0,0.999381041,6.0,1.0,38.0,1.0,4.0,0.501504947,3.0,0.0
2083,6.5,0.23888,150.6403,16.0,2.1e+17,2.24e+17,0.49121,0.00391,0.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,0.269585197,0.64282883,0.0
